Jhimruk River Hydrology Data													
Daily Discharge m3/sec													
													
F.Y.: 2051/52													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1		0.000	40.99	12.67	7.65	6.35	5.22	4.45	3.27	2.85		8.69	122.630
2		0.000	45.03	17.78	8.23	6.66	4.54	4.04	3.33	2.65		7.31	
3		0.000	68.41	17.80	7.83	6.83	4.43	5.28	2.76	2.40		13.78	
4		0.000	54.74	13.95	8.72	6.78	4.32	5.60	2.84	2.32		15.52	
5		0.000	50.26	10.18	7.47	6.46	4.17	4.97	2.89	2.45		18.00	
6		0.000	42.36	10.16	7.45	6.29	4.41	4.98	2.89	2.20		27.14	
7		107.37	42.32	10.14	7.23	6.39	4.79	4.65	2.89	1.99		20.67	
8		112.01	38.82	10.09	7.51	6.20	4.75	4.57	2.89	1.98		50.36	
9		120.50	35.54	10.14	7.99	6.18	4.84	4.60	2.79	2.20		42.60	
10		103.69	33.45	10.65	7.88	6.37	5.23	4.46	2.89	2.02		46.18	
11		101.91	31.75	11.02	8.02	5.98	4.82	5.42	2.87	1.94		42.93	
12		86.82	31.16	12.12	7.99	5.88	5.34	5.36	2.87	1.96		39.02	
13		97.56	27.20	11.82	7.99	6.40	4.65	5.11	2.42	Irrigation use		38.82	
14		72.11	27.01	11.62	7.77	5.95	5.03	4.98	2.87			55.33	
15		66.94	25.46	11.68	7.19	5.53	5.63	4.89	2.87			50.31	
16		62.21	26.51	11.13	8.02	5.86	4.88	3.17	2.75			39.49	
17		55.33	26.90	12.44	7.85	5.85	4.82	4.30	2.84			50.14	
18		48.52	27.48	12.38	6.84	5.77	4.83	4.23	2.77			59.32	
19		46.29	26.99	10.42	4.97	5.74	4.64	4.22	2.77			44.70	
20		47.68	25.56	8.12	7.41	5.71	4.48	4.15	2.71			35.49	
21		42.71	23.72	8.09	7.42	5.61	4.58	4.46	2.71			29.92	
22		41.41	18.52	7.42	8.15	5.57	4.38	4.12	2.54			30.79	
23		35.72	17.97	9.19	7.76	5.47	4.37	4.02	2.63			28.62	
24		37.44	17.95	10.16	7.44	6.25	4.54	2.60	2.77			36.84	
25		64.84	17.84	8.85	7.21	7.20	4.36	4.13	2.77			35.65	
26		47.36	17.78	10.12	7.23	6.46	4.33	3.93	2.77			122.63	
27		63.94	17.84	9.06	7.08	6.46	4.48	3.78	2.77			79.47	
28		59.51	17.78	8.70	7.07	4.78	4.43	3.64	2.77			67.16	
29		46.19	17.94	8.60	6.35	7.23	4.24	3.56	2.71			61.52	
30		44.26	17.87	8.49		6.21		3.53	2.74			57.05	
31		38.80	17.72									57.87	
32												63.35	
													
F.Y.: 2052/53													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	93.46	108.60	53.80	12.49	8.98	6.59	6.31	7.48	4.73	2.37	0.42	14.03	119.300
2	98.37	96.91	53.80	11.35	8.49	6.59	11.04	7.38	4.82	2.29	0.79	7.23	
3	97.67	109.77	41.18	11.91	8.37	6.93	7.95	6.55	4.44	2.60	0.78	14.09	
4	80.83	119.30	38.90	12.67	8.22	6.75	7.23	6.53	5.05	2.76	1.09	7.02	
5	67.33	86.81	36.44	11.89	8.17	6.49	6.79	6.16	4.58	2.52	0.89	4.46	
6	56.86	78.54	38.48	11.09	8.26	6.50	6.66	5.93	4.22	2.85	0.66	5.82	
7	61.75	83.72	33.87	12.30	9.01	6.45	6.43	5.73	4.57	2.14	0.86	6.09	
8	43.90	86.04	32.99	10.65	9.10	6.41	6.33	5.99	3.75	1.76	1.02	51.41	
9	44.76	57.75	29.49	9.59	8.66	6.29	6.20	5.59	3.97	2.45	0.89	20.93	
10	39.60	84.44	32.00	9.88	8.31	6.36	5.62	5.83	4.12	2.58	1.55	21.29	
11	50.49	69.21	29.48	9.36	8.01	5.81	5.92	5.52	4.15	2.42	1.47	33.20	
12	82.32	70.40	30.53	9.67	8.02	6.09	5.69	5.66	4.08	2.10	1.24	21.16	
13	57.04	87.12	27.97	8.87	8.60	5.81	5.82	5.84	3.94	4.05	1.24	13.99	
14	40.64	102.26	26.43	9.78	7.72	5.89	5.85	7.39	3.81	3.59	1.14	17.28	
15	56.30	83.71	23.73	9.02	7.98	6.14	5.70	8.38	3.96	3.18	0.92	14.62	
16	79.79	64.75	25.27	8.21	8.59	5.99	5.65	7.13	3.88	2.87	1.11	25.10	
17	69.58	53.58	23.48	8.60	8.30	6.50	5.63	5.79	3.63	2.44	1.01	32.77	
18	64.47	75.38	22.58	9.46	7.75	5.53	5.54	5.32	4.01	2.78	1.10	15.58	
19	58.79	58.62	22.91	8.74	8.07	5.43	5.40	5.36	3.84	2.18	1.56	13.73	
20	53.62	62.74	21.14	8.20	7.79	6.76	5.17	5.52	3.79	2.15	2.39	14.52	
21	47.50	60.11	20.10	7.23	7.89	6.01	5.20	6.98	3.56	2.11	3.10	13.56	
22	51.28	57.01	18.84	7.58	8.01	5.96	4.99	6.83	3.33	1.77	2.87	41.35	
23	50.71	57.98	18.97	7.21	8.54	5.78	5.04	6.59	3.32	1.08	4.50	24.42	
24	46.73	49.33	17.64	9.40	8.36	6.04	4.84	6.33	3.37	1.10	2.34	21.67	
25	51.19	50.77	17.43	30.27	8.13	6.35	5.18	5.91	3.45	1.18	2.39	26.29	
26	42.33	40.33	16.46	12.83	8.24	5.93	5.11	5.51	3.36	0.93	3.47	25.48	
27	48.46	39.52	17.71	10.58	7.92	5.78	13.20	5.34	3.13	0.81	2.85	44.65	
28	67.96	39.84	17.45	9.05	7.28	5.42	12.67	4.89	3.00	1.61	2.17	55.30	
29	77.62	38.09	13.64	8.93	7.31	5.31	9.04	5.06	2.82	0.59	7.33	78.38	
30	103.09	55.20	13.65	8.54		5.62		5.56	2.73	0.69	8.62	106.51	
31	111.57	39.89	12.98							0.77	4.05	100.47	
32	108.60										24.34		
													
F.Y.: 2053/54													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	81.18	96.14	58.77	31.48	11.60	8.18	6.02	5.51	4.61	4.30	1.73	2.34	376.970
2	91.34	127.45	53.76	30.69	11.27	7.91	5.87	5.39	4.28	4.23	1.98	2.30	
3	110.91	115.56	53.86	38.60	10.64	8.24	5.96	5.14	4.16	4.00	1.89	2.08	
4	376.97	101.75	48.23	27.74	11.01	7.92	5.83	4.92	4.08	3.92	1.76	1.81	
5	134.78	92.28	44.98	26.81	12.37	7.69	5.88	4.76	3.93	4.30	2.09	23.13	
6	123.15	95.92	43.29	25.43	12.79	7.15	5.62	4.66	4.05	3.59	2.06	6.07	
7	126.58	97.39	46.21	25.25	11.17	7.21	7.95	4.32	3.94	3.57	1.47	3.22	
8	97.98	108.65	40.63	24.18	10.53	7.23	8.00	4.55	3.86	3.58	1.98	2.63	
9	100.03	108.63	38.86	23.51	10.77	7.97	8.09	4.67	3.88	3.04	1.93	3.78	
10	87.13	75.73	37.66	24.54	9.75	7.39	7.47	4.37	3.85	3.39	3.15	28.40	
11	73.89	83.08	63.80	23.86	9.25	7.28	6.89	4.27	3.75	6.01	2.07	9.85	
12	67.17	71.94	43.38	21.78	9.26	7.14	6.62	4.09	4.70	3.64	2.57	19.36	
13	62.96	72.16	69.62	19.59	9.28	6.79	6.46	4.03	3.79	3.75	2.51	19.29	
14	59.55	97.14	55.26	19.34	9.37	6.99	6.39	4.25	3.78	8.12	3.50	13.23	
15	57.04	113.97	49.49	20.61	9.96	6.62	6.40	3.83	3.78	7.20	3.47	20.57	
16	136.33	129.88	51.80	17.27	8.93	6.99	6.27	4.37	3.81	4.93	4.78	14.10	
17	94.09	122.77	44.66	16.41	8.90	6.92	6.23	4.09	4.56	4.68	5.15	25.34	
18	98.14	116.60	72.14	18.13	8.59	6.68	6.22	4.27	5.44	3.98	4.06	10.68	
19	83.68	104.40	88.15	15.71	8.38	6.07	6.17	4.29	4.35	3.61	3.83	21.68	
20	78.03	95.25	70.56	15.35	8.19	6.77	6.11	4.27	4.50	3.45	3.35	33.54	
21	64.59	93.60	59.54	15.30	8.26	6.66	6.57	4.08	4.36	4.47	3.19	28.76	
22	69.83	88.40	58.66	15.00	8.34	6.63	6.09	4.20	5.99	3.43	3.47	62.75	
23	76.53	84.45	44.92	15.22	8.29	6.64	5.98	4.20	4.92	2.97	3.39	70.14	
24	88.32	77.14	43.34	14.30	8.16	6.30	5.85	4.24	5.26	2.87	4.55	59.67	
25	85.53	71.81	37.15	13.50	8.23	6.49	5.76	4.02	4.92	2.19	4.32	69.05	
26	85.85	74.81	39.12	13.43	8.28	6.36	5.68	4.30	4.06	4.45	3.26	85.56	
27	86.01	73.36	38.97	13.48	8.35	6.04	5.64	4.34	6.67	3.98	2.64	330.98	
28	88.47	82.75	36.35	12.93	8.38	6.00	5.49	4.24	5.69	3.39	2.65	133.78	
29	91.13	74.23	35.16	15.08	8.38	6.08	5.55	4.09	5.11	2.78	5.33	127.72	
30	82.82	68.39	33.89	14.63	8.21	6.02		4.22	4.57	2.37	6.07	113.99	
31	76.90	62.67								2.06	4.61	95.88	
32	76.95										3.30		
													
F.Y.: 2054/55													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	114.22	105.19	54.57	17.69	10.98	10.06	6.42	4.91	6.51	3.68	17.17	6.16	537.890
2	108.92	168.02	52.14	16.65	11.05	9.75	6.27	5.03	5.35	3.50	10.04	5.63	
3	127.24	119.58	51.05	15.61	10.52	9.05	6.11	5.03	5.12	3.25	7.11	4.38	
4	168.90	107.71	47.13	15.68	11.49	9.09	6.36	4.90	4.96	3.17	2.05	4.07	
5	116.84	95.41	48.20	15.24	11.38	9.02	5.95	4.79	5.24	3.33	2.39	10.33	
6	323.26	90.63	45.47	16.21	10.95	8.82	5.64	4.81	5.83	3.29	1.88	25.87	
7	135.56	76.38	41.76	16.39	10.96	8.89	5.36	4.81	5.17	3.09	1.94	83.39	
8	123.88	70.75	40.60	19.28	10.63	8.90	5.37	4.58	4.92	2.94	2.16	34.07	
9	130.52	64.73	38.68	20.61	9.42	8.76	5.45	4.58	4.82	2.99	2.12	32.72	
10	105.67	61.77	86.24	17.21	10.09	8.54	5.44	4.37	4.68	4.17	4.79	29.77	
11	94.96	53.71	35.79	16.84	14.64	8.21	5.40	4.32	4.71	4.16	11.46	61.95	
12	93.67	54.58	35.39	16.84	12.29	8.15	5.32	4.68	4.58	4.86	12.23	100.24	
13	95.39	58.18	31.82	16.51	10.96	8.38	5.27	5.91	4.57	4.34	4.99	74.57	
14	137.83	87.21	30.86	15.55	10.05	8.36	5.26	5.60	4.22	4.34	2.93	68.58	
15	207.87	71.72	30.58	15.15	10.82	8.13	5.22	5.44	4.37	3.50	2.49	60.10	
16	99.79	58.83	30.27	12.79	12.92	7.96	5.32	5.16	5.26	3.13	2.45	45.81	
17	110.02	52.36	30.30	12.78	11.63	7.75	5.60	5.00	7.20	3.14	2.05	64.65	
18	94.10	45.64	29.81	11.45	10.55	7.61	5.37	4.77	5.33	2.78	2.18	45.67	
19	108.58	43.00	28.33	11.41	10.13	7.53	5.58	4.72	4.63	4.43	2.27	45.23	
20	82.29	62.33	27.03	10.84	9.50	7.40	5.57	4.76	4.63	8.14	2.07	46.70	
21	91.69	72.11	26.64	11.19	9.65	7.41	5.50	4.79	4.33	3.18	2.11	109.71	
22	69.74	51.40	23.98	11.11	9.47	7.27	5.35	6.14	6.95	18.39	1.95	108.40	
23	58.05	55.23	23.45	10.89	9.64	7.17	5.35	6.31	5.15	6.58	1.85	182.53	
24	64.02	51.20	22.99	10.45	12.93	7.05	5.34	5.51	5.52	4.00	2.03	144.17	
25	56.53	50.49	21.82	10.79	22.94	7.00	5.19	5.23	4.79	3.68	1.83	122.35	
26	72.38	54.02	22.22	10.37	14.96	6.85	5.18	5.16	5.26	3.11	1.68	96.15	
27	88.73	57.98	21.35	9.68	12.23	6.66	5.14	5.07	5.59	3.22	1.65	85.93	
28	537.89	71.18	20.91	9.43	10.32	6.76	5.18	5.05	4.72	2.90	1.66	150.43	
29	151.90	65.95	19.44	40.64	11.11	6.63	5.65	6.23	4.44	4.16	1.39	94.40	
30	12.07	58.39	18.90	11.07	10.61		5.06		4.13	3.54	5.58	82.39	
31	122.31	57.60								14.72	4.96	85.07	
32	101.67											77.59	
													
F.Y.: 2055/56													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	85.56	101.09	53.42	33.14	14.04	8.10	6.89	5.28	4.11	3.16	5.40	15.82	255.400
2	102.75	117.63	53.41	30.58	14.04	7.79	6.45	4.98	4.12	3.06	3.64	11.72	
3	98.30	122.20	51.99	28.31	15.64	7.99	6.37	4.56	4.17	2.93	2.93	19.71	
4	115.93	111.34	47.72	26.76	17.46	7.49	6.26	4.71	4.08	2.95	4.92	10.30	
5	106.38	154.49	46.49	24.12	14.10	7.39	6.14	4.69	4.00	2.88	5.69	8.59	
6	93.60	128.01	42.33	23.34	14.03	7.33	6.00	4.29	3.83	2.86	1.86	11.15	
7	84.28	146.20	41.75	22.64	13.76	6.87	6.02	4.26	3.94	2.66	3.53	11.54	
8	88.83	134.83	39.00	20.86	12.84	6.95	5.65	4.67	3.92	2.45	3.31	22.98	
9	88.28	151.22	36.08	19.47	12.78	7.14	5.88	4.91	4.01	1.60	1.76	42.71	
10	72.47	145.13	34.31	17.77	12.09	7.08	5.82	4.97	3.57	1.79	1.57	37.06	
11	86.83	188.24	34.76	17.14	11.61	7.24	5.49	4.84	3.92	1.58	1.50	24.70	
12	74.85	135.73	39.10	17.52	11.40	7.26	5.30	4.88	3.82	1.50	4.34	25.52	
13	67.44	121.78	55.27	16.37	10.86	7.21	5.19	4.81	3.77	1.39	5.63	34.76	
14	58.65	117.21	42.87	15.59	10.91	7.24	5.14	4.40	3.91	1.31	5.28	37.83	
15	59.47	114.73	49.81	15.59	10.94	6.91	5.63	4.44	3.79	1.29	3.05	30.53	
16	74.11	255.40	51.51	15.59	10.94	6.79	5.72	4.36	3.89	1.23	1.48	30.68	
17	63.79	139.61	91.57	15.59	10.94	6.85	5.50	4.41	3.84	1.24	1.29	29.83	
18	96.79	159.45	76.26	14.95	10.97	6.68	5.29	4.40	3.75	1.26	1.34	27.25	
19	103.74	159.30	58.97	14.04	10.57	6.56	5.12	4.40	3.52	1.76	1.35	34.05	
20	120.24	137.53	52.91	14.04	10.29	6.79	5.12	4.44	3.53	1.35	1.35	33.21	
21	111.93	153.09	47.19	14.05	10.20	6.77	5.30	4.26	3.55	1.34	1.34	37.76	
22	97.53	126.58	45.60	14.97	9.38	6.71	5.83	4.26	3.49	1.28	1.34	55.16	
23	90.60	113.26	42.39	16.37	9.36	6.62	5.79	4.21	3.46	1.26	1.34	63.11	
24	94.18	104.29	38.58	14.11	8.77	6.57	5.79	4.34	3.54	1.18	1.34	50.61	
25	99.71	94.48	35.95	14.04	8.49	6.88	5.76	4.13	3.51	1.18	1.74	42.08	
26	113.23	87.48	34.80	14.14	8.46	7.40	5.76	4.14	4.28	1.29	1.90	42.27	
27	116.06	72.25	33.11	13.89	8.46	7.07	5.70	4.09	3.59	1.58	6.26	170.35	
28	135.71	70.75	31.20	14.02	8.46	7.05	5.66	4.06	3.55	1.83	8.75	48.09	
29	150.31	63.92	31.58	14.02	8.46	6.81	5.60	4.92	3.48	7.18	56.67	49.94	
30	124.79	59.57	30.90	13.94		6.97		4.23	3.32	7.12	116.33	80.57	
31	112.99	56.23	29.84							6.32	50.09	56.62	
32												48.93	
													
F.Y.: 2056/57													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	44.33	77.72	82.16	34.23	14.07	8.44	7.45	6.37	4.48	3.14	5.38	34.68	232.440
2	44.45	93.40	99.76	32.54	13.93	8.16	7.14	6.11	4.42	6.78	5.62	26.01	
3	49.46	90.48	69.33	32.81	13.17	8.02	7.07	5.92	4.33	4.03	7.61	32.90	
4	57.55	83.44	92.25	23.81	12.24	7.98	6.90	5.94	4.23	3.76	5.59	63.93	
5	52.34	81.64	73.87	29.45	11.87	7.86	6.84	9.98	4.21	3.26	4.76	48.19	
6	50.04	90.74	80.04	27.53	11.09	8.00	6.82	6.04	4.23	3.26	4.44	40.13	
7	43.87	112.37	81.49	27.04	10.51	8.08	6.76	6.00	4.23	13.65	7.12	52.56	
8	42.83	120.35	81.46	24.48	10.85	8.05	6.71	5.97	4.17	8.66	7.86	90.82	
9	48.91	136.78	75.15	23.08	10.94	8.00	6.64	5.83	4.14	4.57	11.88	81.38	
10	62.29	137.55	101.78	22.94	10.94	7.98	6.54	5.74	4.95	3.60	19.00	59.63	
11	70.95	125.66	84.06	21.49	10.94	7.71	6.44	5.65	5.43	3.63	19.50	59.34	
12	74.40	116.72	80.07	19.53	10.91	7.73	6.05	5.62	4.60	5.30	22.33	63.99	
